draw_id,draw_sequence,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
3876,297,2.0,2.0,2.0,14.0,0.0471380471380471,13,2,0,4,16,27.76923076923077,32.81921071134978,1.0,119.0,13,6.666666666666667,1,0,heating_up
4211,112,1.0,3.0,5.0,8.0,0.0714285714285714,8,2,0,10,40,11.857142857142858,8.659075691823851,3.0,25.0,8,10.0,1,0,stable
2699,600,0.0,1.0,2.0,35.0,0.0583333333333333,26,3,0,1,4,17.058823529411764,14.144092877303914,1.0,57.0,26,3.333333333333333,0,0,cooling_down
2393,294,0.0,0.0,1.0,17.0,0.0578231292517006,48,2,0,9,37,14.9375,13.14566825041618,1.0,48.0,48,0.0,0,1,stable
4831,1252,0.0,2.0,3.0,75.0,0.0599041533546325,22,2,0,12,52,18.08108108108108,15.455915299657365,1.0,74.0,22,6.666666666666667,0,0,cooling_down
3792,213,0.0,0.0,1.0,8.0,0.0375586854460093,37,4,0,1,3,23.0,27.954043919057067,1.0,84.0,37,0.0,0,1,stable
2373,274,1.0,3.0,4.0,9.0,0.0328467153284671,9,3,0,8,34,31.125,35.363955873176856,3.0,104.0,9,10.0,1,0,stable
3598,468,1.0,2.0,2.0,30.0,0.0641025641025641,1,0,0,10,42,18.517241379310345,16.761245714661342,1.0,71.0,1,6.666666666666667,0,0,heating_up
1221,55,2.0,3.0,3.0,4.0,0.0727272727272727,5,1,0,8,32,15.666666666666666,11.897712198383164,2.0,31.0,5,10.0,0,0,heating_up
4469,890,0.0,4.0,6.0,47.0,0.0528089887640449,12,2,0,12,51,21.13043478260869,23.3476641561869,1.0,118.0,12,13.333333333333334,1,0,cooling_down
2316,217,0.0,0.0,0.0,5.0,0.0230414746543778,59,2,0,6,26,38.25,35.891329036412124,7.0,98.0,59,0.0,0,1,stable
4693,1114,3.0,3.0,4.0,54.0,0.0484739676840215,1,2,0,8,32,22.641509433962263,22.151361250920424,1.0,106.0,1,10.0,1,0,heating_up
2330,231,0.0,0.0,0.0,8.0,0.0346320346320346,55,3,0,1,2,23.714285714285715,18.029454359181145,10.0,67.0,55,0.0,0,1,stable
4320,741,0.0,2.0,2.0,34.0,0.0458839406207827,18,0,0,7,30,24.939393939393938,23.977185360556994,1.0,112.0,18,6.666666666666667,1,0,cooling_down
2510,411,0.0,1.0,1.0,19.0,0.0462287104622871,23,2,0,1,2,21.27777777777778,13.440426396822202,2.0,46.0,23,3.333333333333333,0,1,cooling_down
4135,1005,0.0,1.0,3.0,76.0,0.0756218905472636,33,3,0,4,16,14.28,14.322532364541312,1.0,87.0,33,3.333333333333333,0,1,cooling_down
2559,460,0.0,1.0,2.0,22.0,0.0478260869565217,19,1,0,9,36,20.52380952380953,18.75561896153751,2.0,75.0,19,3.333333333333333,0,0,cooling_down
2807,708,1.0,4.0,6.0,39.0,0.0550847457627118,4,6,1,5,20,18.76315789473684,16.40191614371917,1.0,64.0,4,13.333333333333334,1,0,cooling_down
2865,766,1.0,3.0,5.0,42.0,0.0548302872062663,1,0,0,1,2,18.87804878048781,18.11372626268741,1.0,69.0,1,10.0,1,0,stable
4244,665,0.0,1.0,2.0,34.0,0.0511278195488721,27,1,0,5,19,22.181818181818183,26.13653491379979,1.0,118.0,27,3.333333333333333,0,0,cooling_down
3293,163,0.0,0.0,0.0,4.0,0.0245398773006134,115,3,0,12,48,36.0,31.63331577098213,7.0,80.0,115,0.0,0,1,stable
3663,533,2.0,3.0,5.0,38.0,0.0712945590994371,4,2,0,12,51,16.72972972972973,16.850132165090223,1.0,79.0,4,10.0,1,0,heating_up
4295,196,1.0,2.0,2.0,11.0,0.0561224489795918,1,2,0,12,52,15.7,12.272326592785902,1.0,38.0,1,6.666666666666667,0,0,heating_up
4551,972,1.0,2.0,5.0,70.0,0.0720164609053498,10,0,0,3,11,15.434782608695652,14.810374605904936,1.0,72.0,10,6.666666666666667,0,0,heating_up
3409,279,2.0,2.0,4.0,23.0,0.082437275985663,1,0,0,3,13,16.181818181818183,17.915550288750843,1.0,65.0,1,6.666666666666667,0,0,heating_up
4326,747,0.0,1.0,2.0,39.0,0.0522088353413654,12,6,1,7,30,21.92105263157895,21.33119975769045,1.0,97.0,12,3.333333333333333,0,0,cooling_down
3638,508,0.0,1.0,1.0,33.0,0.0649606299212598,13,5,1,11,47,18.46875,18.043323514183854,1.0,71.0,13,3.333333333333333,0,1,cooling_down
3832,702,1.0,2.0,2.0,47.0,0.0669515669515669,1,3,0,6,24,17.32608695652174,16.65905465743465,1.0,61.0,1,6.666666666666667,0,0,heating_up
4505,1375,0.0,1.0,2.0,78.0,0.0567272727272727,24,4,0,5,18,19.0,20.292663890978133,1.0,115.0,24,3.333333333333333,0,1,cooling_down
4415,836,0.0,1.0,1.0,45.0,0.0538277511961722,19,4,0,10,43,20.863636363636363,25.27178709827416,1.0,118.0,19,3.333333333333333,0,1,cooling_down
2960,861,1.0,3.0,4.0,50.0,0.0580720092915214,4,5,1,10,42,17.224489795918366,18.27819634084243,1.0,87.0,4,10.0,1,0,stable
4173,74,0.0,1.0,1.0,3.0,0.0405405405405405,11,6,1,8,34,28.0,15.0,13.0,43.0,11,3.333333333333333,0,0,cooling_down
2331,126,1.0,2.0,2.0,7.0,0.0555555555555555,4,2,0,10,42,15.166666666666666,10.699169230469357,2.0,34.0,4,6.666666666666667,0,0,heating_up
400,298,1.0,3.0,4.0,20.0,0.0671140939597315,10,4,0,11,45,36.63157894736842,35.66394394212347,2.0,114.0,10,10.0,1,0,stable
3426,296,1.0,3.0,5.0,20.0,0.0675675675675675,7,1,0,4,16,19.31578947368421,20.078930123466417,1.0,65.0,7,10.0,1,0,stable
4835,1256,3.0,3.0,6.0,68.0,0.054140127388535,1,6,1,12,52,19.83582089552239,23.723907593191928,1.0,150.0,1,10.0,1,0,heating_up
2197,98,2.0,2.0,3.0,5.0,0.0510204081632653,4,3,0,8,35,21.75,13.681648292512127,2.0,35.0,4,6.666666666666667,0,0,heating_up
3955,376,0.0,2.0,3.0,19.0,0.050531914893617,11,6,1,7,28,20.33333333333333,18.538248748645778,5.0,81.0,11,6.666666666666667,1,0,cooling_down
3463,333,0.0,3.0,3.0,19.0,0.057057057057057,26,5,1,6,22,22.27777777777778,21.41081127622615,1.0,70.0,26,10.0,1,0,cooling_down
4829,1250,2.0,2.0,2.0,70.0,0.056,1,0,0,12,52,17.971014492753625,18.17624745195148,1.0,105.0,1,6.666666666666667,0,0,heating_up
3956,826,0.0,2.0,4.0,45.0,0.0544794188861985,15,1,0,10,42,20.65909090909091,22.104034166782338,1.0,105.0,15,6.666666666666667,0,0,cooling_down
587,485,0.0,1.0,2.0,35.0,0.0721649484536082,29,4,0,12,52,32.26470588235294,28.5382187740554,5.0,154.0,29,3.333333333333333,0,0,cooling_down
4406,827,0.0,2.0,2.0,56.0,0.0677146311970979,15,2,0,10,42,16.254545454545454,16.214716303203964,1.0,101.0,15,6.666666666666667,0,0,cooling_down
4286,707,0.0,3.0,3.0,34.0,0.048090523338048,25,1,0,6,25,23.78787878787879,18.65761291652508,1.0,85.0,25,10.0,1,0,cooling_down
183,58,3.0,14.0,22.0,23.0,0.396551724137931,2,4,0,8,32,2.272727272727273,2.004127971368055,1.0,8.0,2,46.66666666666666,1,0,cooling_down
4670,1091,1.0,2.0,5.0,51.0,0.0467461044912923,10,0,0,7,29,21.62,28.13957355753637,1.0,183.0,10,6.666666666666667,1,0,heating_up
